14:01:25 Environment | SparkleShare 2.0.1 (Flatpak)
14:01:27 Environment | Git LFS 2.3.0
14:01:28 Environment | Git 2.14.1
14:01:29 Environment | GNOME (Unix 4.16.13.1)
14:01:30 Cmd |  | gvfs-set-attribute "/home/zack/SparkleShare" metadata::custom-icon-name org.sparkleshare.SparkleShare
14:01:53 /home/zack/SparkleShare/github.com/notes | Initializing...
14:01:56 Cmd | notes | git config core.ignorecase false
14:01:58 Cmd | notes | git config remote.origin.url "ssh://git@github.com/dzackgarza/notes.git"
14:02:14 Cmd | notes | git config core.sshCommand ssh -i /home/zack/.config/org.sparkleshare.SparkleShare/ssh/2018-05-31_20h18.key -o UserKnownHostsFile=/home/zack/.config/org.sparkleshare.SparkleShare/ssh/known_hosts -o IdentitiesOnly=yes -o PasswordAuthentication=no -F /dev/null
14:02:14 Cmd | notes | git --no-pager log --since=1.month --raw --find-renames --date=iso --format=medium --no-color --no-merges
14:02:20 Git | notes | Checking for remote changes...
14:02:20 Cmd | notes | git rev-parse HEAD
14:02:20 Cmd | notes | git config core.ignorecase true
14:02:20 Cmd | notes | git config core.ignorecase false
14:02:22 Cmd | notes | git rev-parse --abbrev-ref HEAD
14:02:22 Cmd | notes | git ls-remote --heads --exit-code origin master
14:02:24 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
14:02:24 Cmd | notes | git status --porcelain
14:06:55 Git | notes | Checking for remote changes...
14:06:55 Cmd | notes | git rev-parse HEAD
14:06:55 Cmd | notes | git ls-remote --heads --exit-code origin master
14:06:55 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
14:11:55 Git | notes | Checking for remote changes...
14:11:55 Cmd | notes | git rev-parse HEAD
14:11:55 Cmd | notes | git ls-remote --heads --exit-code origin master
14:11:55 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
14:14:21 Cmd | notes | git status --porcelain
14:14:21 Cmd | notes | git status --porcelain
14:16:15 Cmd | notes | git status --porcelain
14:16:15 Cmd | notes | git status --porcelain
14:16:55 Git | notes | Checking for remote changes...
14:16:55 Cmd | notes | git rev-parse HEAD
14:16:55 Cmd | notes | git ls-remote --heads --exit-code origin master
14:16:55 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
14:21:55 Git | notes | Checking for remote changes...
14:21:55 Cmd | notes | git rev-parse HEAD
14:21:55 Cmd | notes | git ls-remote --heads --exit-code origin master
14:21:55 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
14:26:55 Git | notes | Checking for remote changes...
14:26:55 Cmd | notes | git rev-parse HEAD
14:26:55 Cmd | notes | git ls-remote --heads --exit-code origin master
14:26:55 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
14:31:55 Git | notes | Checking for remote changes...
14:31:55 Cmd | notes | git rev-parse HEAD
14:31:55 Cmd | notes | git ls-remote --heads --exit-code origin master
14:31:55 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
14:36:55 Git | notes | Checking for remote changes...
14:36:55 Cmd | notes | git rev-parse HEAD
14:36:55 Cmd | notes | git ls-remote --heads --exit-code origin master
14:36:55 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
14:41:55 Git | notes | Checking for remote changes...
14:41:55 Cmd | notes | git rev-parse HEAD
14:41:55 Cmd | notes | git ls-remote --heads --exit-code origin master
14:41:55 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
14:46:55 Git | notes | Checking for remote changes...
14:46:55 Cmd | notes | git rev-parse HEAD
14:46:55 Cmd | notes | git ls-remote --heads --exit-code origin master
14:46:55 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
14:51:55 Git | notes | Checking for remote changes...
14:51:55 Cmd | notes | git rev-parse HEAD
14:51:55 Cmd | notes | git ls-remote --heads --exit-code origin master
14:51:55 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
14:56:55 Git | notes | Checking for remote changes...
14:56:55 Cmd | notes | git rev-parse HEAD
14:56:55 Cmd | notes | git ls-remote --heads --exit-code origin master
14:56:55 Git | notes | No remote changes, local+remote: dea08d403eaab17103f969eef8e601b0ee057a1c
15:17:05 Git | notes | Checking for remote changes...
15:17:05 Cmd | notes | git rev-parse HEAD
15:17:05 Cmd | notes | git ls-remote --heads --exit-code origin master
